agent,bot,matches,win_rate,match_draw_rate,round_win_rate,round_loss_rate,draw_rate,average_score_diff,average_match_length,uniform_deviation,exploitability_proxy_vs_random,prediction_accuracy
actor_critic,random,1000,0.497,0.0,0.329115068245503,0.33239928892102805,0.33848564283346894,-0.109,33.189,0.9588033758027575,0.9588033758027575,
actor_critic,biased_rock,1000,0.994,0.0,0.5721967559943583,0.2559943582510578,0.17180888575458392,7.174,22.688,1.0360561642342208,,
actor_critic,biased_paper,1000,0.998,0.0,0.5375382832546974,0.18487707971194436,0.2775846370333582,8.521,24.162,1.0126776575151937,,
actor_critic,biased_scissors,1000,0.983,0.0,0.4866917293233083,0.2393609022556391,0.2739473684210526,6.579,26.6,0.9902060993209059,,
actor_critic,win_stay_lose_shift,1000,0.868,0.0,0.37151812644154003,0.24930510379088058,0.3791767697675794,4.133,33.818,0.9499674181518313,,
actor_critic,lose_stay_win_shift,1000,0.879,0.0,0.4432597948793625,0.2854718512506456,0.2712683538699919,4.277,27.106,1.009352538246484,,
actor_critic,cycle,1000,0.236,0.0,0.3778190694793602,0.4497030640871498,0.17247786643349,-1.973,27.447,0.9085442396926074,,
actor_critic,reverse_cycle,1000,0.002,0.0,0.15576923076923077,0.30849952516619183,0.5357312440645774,-6.433,42.12,1.1112598625285979,,
actor_critic,copy_opponent,1000,0.427,0.0,0.3417059301380991,0.3499918765231519,0.308302193338749,-0.255,30.775,0.9323423084223208,,
actor_critic,anti_last_move,1000,0.427,0.0,0.32323586061985643,0.33219517889453104,0.3445689604856126,-0.307,34.266,0.9240021692783773,,
actor_critic,avoid_repeat,1000,0.485,0.0,0.32139493819894055,0.32495585638610947,0.35364920541495,-0.121,33.98,0.9262317827439258,,
actor_critic,pressure,1000,0.692,0.0,0.4125935414278973,0.36449133688397495,0.22291512168812783,1.427,29.666,0.9812612537729293,,
actor_critic,noisy_human_like,1000,0.54,0.0,0.34271613964540304,0.32739292024614636,0.3298909401084506,0.503,32.826,0.9457080092789052,,
actor_critic,switching_strategy,1000,0.868,0.0,0.4194100605741375,0.25483934685277854,0.32575059257308403,4.999,30.376,0.9116626985920708,,
actor_critic,adaptive_counter,1000,0.996,0.0,0.48073720439658046,0.30102512860367864,0.21823766699974095,4.856,27.021,1.014913794836834,,
actor_critic,mixed_bias,1000,0.995,0.0,0.5285545650669597,0.22929132576220132,0.24215410917083893,7.352,24.567,1.0097324175238136,,
actor_critic,reverse_then_copy,1000,0.424,0.0,0.34594072164948453,0.3541881443298969,0.29987113402061855,-0.256,31.04,0.9488485443401086,,
