agent,bot,matches,win_rate,match_draw_rate,round_win_rate,round_loss_rate,draw_rate,average_score_diff,average_match_length,uniform_deviation,exploitability_proxy_vs_random,prediction_accuracy
hybrid,random,5,0.2,0.0,0.2909090909090909,0.3878787878787879,0.3212121212121212,-3.2,33.0,0.0662351886431376,0.0662351886431376,0.28484848484848485
hybrid,biased_rock,5,1.0,0.0,0.5078125,0.2734375,0.21875,6.0,25.6,0.21119578854025653,,0.53125
hybrid,biased_paper,5,0.8,0.0,0.40397350993377484,0.32450331125827814,0.271523178807947,2.4,30.2,0.15101913877538758,,0.5165562913907285
hybrid,biased_scissors,5,0.4,0.0,0.3669064748201439,0.3381294964028777,0.2949640287769784,0.8,27.8,0.14349891667028694,,0.6906474820143885
hybrid,win_stay_lose_shift,5,0.6,0.0,0.3277777777777778,0.3111111111111111,0.3611111111111111,0.6,36.0,0.06681180855742205,,0.37222222222222223
hybrid,lose_stay_win_shift,5,0.6,0.0,0.3149171270718232,0.30939226519337015,0.3756906077348066,0.2,36.2,0.09245129654091366,,0.3701657458563536
hybrid,cycle,5,0.2,0.0,0.30601092896174864,0.3333333333333333,0.36065573770491804,-1.0,36.6,0.03647183535963242,,0.4371584699453552
hybrid,reverse_cycle,5,0.8,0.0,0.3368421052631579,0.2578947368421053,0.4052631578947368,3.0,38.0,0.11031258033033002,,0.631578947368421
hybrid,copy_opponent,5,1.0,0.0,0.3987730061349693,0.2147239263803681,0.38650306748466257,6.0,32.6,0.04589497144114995,,0.44785276073619634
hybrid,anti_last_move,5,0.8,0.0,0.3409090909090909,0.2727272727272727,0.38636363636363635,2.4,35.2,0.07987767206787157,,0.4602272727272727
hybrid,avoid_repeat,5,0.6,0.0,0.3254437869822485,0.3136094674556213,0.3609467455621302,0.4,33.8,0.05025899230963613,,0.41420118343195267
hybrid,pressure,5,0.8,0.0,0.3375796178343949,0.27388535031847133,0.3885350318471338,2.0,31.4,0.14736269800399765,,0.4267515923566879
hybrid,noisy_human_like,5,0.6,0.0,0.34705882352941175,0.3,0.35294117647058826,1.6,34.0,0.061163112491953595,,0.3764705882352941
hybrid,switching_strategy,5,0.6,0.0,0.36129032258064514,0.3161290322580645,0.3225806451612903,1.4,31.0,0.059871908317330046,,0.432258064516129
hybrid,adaptive_counter,5,1.0,0.0,0.4391891891891892,0.31756756756756754,0.24324324324324326,3.6,29.6,0.21382543978256138,,0.6148648648648649
hybrid,mixed_bias,5,0.6,0.0,0.3618421052631579,0.2894736842105263,0.34868421052631576,2.2,30.4,0.207615821704007,,0.5986842105263158
hybrid,reverse_then_copy,5,0.8,0.0,0.3961038961038961,0.33766233766233766,0.2662337662337662,1.8,30.8,0.04799371870694221,,0.487012987012987
