agent,bot,matches,win_rate,match_draw_rate,round_win_rate,round_loss_rate,draw_rate,average_score_diff,average_match_length,uniform_deviation,exploitability_proxy_vs_random,prediction_accuracy
hybrid,random,2000,0.4925,0.0,0.3318080576978439,0.3332171699571206,0.33497477234503553,-0.0465,32.9995,0.16032496865135482,0.16032496865135482,0.3324898862103971
hybrid,biased_rock,2000,0.8585,0.0,0.4125985032462705,0.27883233384546763,0.30856916290826186,4.0485,30.2655,0.24525532026467725,,0.6091424228907502
hybrid,biased_paper,2000,0.914,0.0,0.43017015152797766,0.2693981207144671,0.3004317277575552,4.748,29.5325,0.2821576917782678,,0.580072801151274
hybrid,biased_scissors,2000,0.9175,0.0,0.4321174331877878,0.2669430333508894,0.3009395334613228,4.861,29.4295,0.28032163293324175,,0.5819670738544658
hybrid,win_stay_lose_shift,2000,0.9235,0.0,0.4246055085956274,0.271194985463895,0.30419950594047757,4.5645,29.7535,0.23131992107745764,,0.5083267514746165
hybrid,lose_stay_win_shift,2000,0.933,0.0,0.4226884614106781,0.27672015681584106,0.3005913817734808,4.3935,30.099,0.21410829057019037,,0.5169440845210804
hybrid,cycle,2000,0.322,0.0,0.3393819362666381,0.42739892231381366,0.23321914141954822,-2.4665,28.023,0.336570096906882,,0.4308960496734825
hybrid,reverse_cycle,2000,0.884,0.0,0.32863032524049474,0.222982789084484,0.4483868856750213,4.036,38.2025,0.4648510084896996,,0.4135724101825797
hybrid,copy_opponent,2000,0.974,0.0,0.45468341921366556,0.26049975294698946,0.284816827839345,5.502,28.334,0.23768883650866374,,0.528181689842592
hybrid,anti_last_move,2000,0.9555,0.0,0.4397158228721203,0.26412263760518695,0.2961615395226928,5.0915,28.996,0.22645444082781507,,0.5142950751827838
hybrid,avoid_repeat,2000,0.615,0.0,0.3456270552387848,0.3129845838235738,0.3413883609376414,1.082,33.147,0.15380563007531875,,0.3810450417835702
hybrid,pressure,2000,0.856,0.0,0.39672493630930444,0.29272083446828284,0.3105542292224127,3.2455,31.2055,0.24581887263059327,,0.5241543958597042
hybrid,noisy_human_like,2000,0.566,0.0,0.34007094875084914,0.32076383123254587,0.33916522001660504,0.6395,33.1225,0.18231713192175505,,0.3613404785266813
hybrid,switching_strategy,2000,0.899,0.0,0.40567233033364736,0.2721159156622592,0.3222117540040934,4.111,30.781,0.2576259368963405,,0.6002891394041779
hybrid,adaptive_counter,2000,0.8865,0.0,0.4243571988720738,0.29506282014916657,0.28057998097875964,3.8745,29.9665,0.3335481493227979,,0.5062653296180735
hybrid,mixed_bias,2000,0.896,0.0,0.42612564033432193,0.27192302507414395,0.3019513345915341,4.5755,29.672,0.2703353640395896,,0.5930843893232677
hybrid,reverse_then_copy,2000,0.958,0.0,0.4372736590365562,0.26486163307140415,0.2978647078920396,5.0465,29.27,0.2544028405985929,,0.5921933720532969
