agent,bot,matches,win_rate,match_draw_rate,round_win_rate,round_loss_rate,draw_rate,average_score_diff,average_match_length,uniform_deviation,exploitability_proxy_vs_random,prediction_accuracy
mixture,random,500,0.476,0.0,0.32956135547849363,0.3384437549431161,0.33199488957839024,-0.292,32.874,0.3235544708878746,0.3235544708878746,0.3332116566283385
mixture,cycle,500,1.0,0.0,0.660636243520683,0.1328387031202358,0.2065250533590812,10.386,19.678,0.667484213709609,,0.8254903953653827
mixture,sticky_rock,500,1.0,0.0,0.6150643451930355,0.16029523088569267,0.22464042392127176,9.612,21.136,0.6881985823764133,,0.8832323996971991
mixture,biased_rock,500,0.902,0.0,0.4810444579780755,0.24261571254567602,0.27633982947624847,6.264,26.272,0.5364817464013306,,0.7100334957369062
